Прайс-лист на 2 сентября 2019 г.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ценовая группа,,,,,,,,,,,,,Прайс-лист,Склад Запорожье основной
Артикул,,,,,"Номенклатура, Упаковка",,,,,,,,грн,
,,,,,,,,,,,,,Включает НДС,
9299AGNBL,,,,,"Chrysler Neon (Седан) ветровое З/П.Ш.ТЗ (триплекс) 1995-00 (XYG), шт",,,,,,,,"1,810.00",1.000
A225AGNGY,,,,,"Chrysler Neon (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2000-05, шт",,,,,,,,"1,255.00",1.000
A228LGNS4RD,,,,,"Chrysler Sebring (Седан) задней двери опускное левое зеленое (сталинит) 2001-07, шт",,,,,,,,470.00,1.000
A228RGNS4RD,,,,,"Chrysler Sebring (Седан) задней двери опускное правое зеленое (сталинит) 2001-07 , шт",,,,,,,,470.00,1.000
A228RGNS4FD,,,,,"Chrysler Sebring (Седан) передней двери опускное правое зеленое (сталинит) 2001-07, шт",,,,,,,,455.00,2.000
A228LGNS4FD,,,,,"Chrysler Sebring (Седан) передней дери опускное левое зеленое (сталинит) 2001-07, шт",,,,,,,,455.00,2.000
2724AGNBL,,,,,"Citroen Berlingo (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 1996-08 (XYG), шт",,,,,,,,900.00,36.000
2741AGNBLPV,,,,,"Citroen Berlingo (Минивен) ветровое З/П.Ш.ТЗ дд (триплекс) 2008- (SG), шт",,,,,,,,"1,129.00",1.000
2734AGNBL,,,,,"Citroen C1 (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2005-14 (SG), шт",,,,,,,,963.00,1.000
2731AGNGYPV,,,,,"Citroen C2 (Хетчбек) ветровое З/П.Ш.ТЗ дд (триплекс) 2003-08, шт",,,,,,,,"1,103.00",1.000
2726AGNBLPV,,,,,"Citroen C3 (Хетчбек) ветровое З/П.Ш.ТЗ дд (триплекс) 2002-09 (SG), шт",,,,,,,,"1,103.00",1.000
2726BGNH,,,,,"Citroen C3 (Хетчбек) заднее с ЭО зеленое (сталинит) 2002-10, шт",,,,,,,,"1,364.00",2.000
2742AGNBLPV,,,,,"Citroen C3 Picasso (Минивен) ветровое З/П.Ш.ТЗ дд (триплекс) 2009- (SG), шт",,,,,,,,"1,083.00",1.000
2732BGNH,,,,,"Citroen C4 5D (Хетчбек) заднее с ЭО зеленое (сталинит) 2004-10, шт",,,,,,,,958.00,2.000
2746BGNH ,,,,,"Citroen C4 5D (Хетчбек) заднее с ЭО зеленое (сталинит) 2010- , шт",,,,,,,,"1,560.00",2.000
2740AGNBLV,,,,,"Citroen C5 (II) (Комби, Седан) ветровое З/П.Ш.ТЗ (триплекс) 2008-, шт",,,,,,,,"1,711.00",1.000
2740AGNGYPV,,,,,"Citroen C5 (II) (Комби, Седан) ветровое З/П.Ш.ТЗ дд (триплекс) 2008-, шт",,,,,,,,"1,711.00",2.000
2727AGNGYPV1B,,,,,"Citroen C5 (Комби, Хетчбек) ветровое З/П.Ш.ТЗ раздельн. дд (триплекс) 2000-03, шт",,,,,,,,"1,246.00",1.000
2727AGNGYPV6T,,,,,"Citroen C5 (Комби, Хетчбек) ветровое З/П.Ш.ТЗ совмещ. дд (триплекс) 2003-08, шт",,,,,,,,"1,200.00",1.000
2736BGNR,,,,,"Citroen Jumpy (Минивен) заднее c ЭО правое зеленое (сталинит) 2007- (SG), шт",,,,,,,,713.00,1.000
2739AGNBLV,,,,,"Citroen Nemo (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 2008- (SG), шт",,,,,,,,"1,140.00",1.000
2739BGNLU,,,,,"Citroen Nemo (Минивен) заднее без ЭО левое зеленое (сталанит) 2008- (SG), шт",,,,,,,,570.00,1.000
2739BGNLU,,,,,"Citroen Nemo (Минивен) заднее без ЭО отв. левое зеленое (сталанит) 2008- (SG), шт",,,,,,,,607.00,1.000
2739BGNL,,,,,"Citroen Nemo (Минивен) заднее с ЭО отв. левое зеленое (сталанит) 2008- (SG), шт",,,,,,,,749.00,2.000
2720AGNGYP,,,,,"Citroen Xantia (Хетчбек, Комби) ветровое З/П.Ш.ТЗ дд (триплекс) 1993-10, шт",,,,,,,,"1,275.00",1.000
2725AGNBLPV,,,,,"Citroen Xsara (Хетчбек, Комби, Купе) ветровое З/П.Ш.ТЗ дд (триплекс) 1997-04, шт",,,,,,,,"1,096.00",1.000
2729AGNBLV,,,,,"Citroen Xsara Picasso (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 1999-08, шт",,,,,,,,"1,711.00",1.000
2729BGNV ,,,,,"Citroen Xsara Picasso (Минивен) заднее с ЭО зеленое (сталинит) 1999-08, шт",,,,,,,,"1,495.00",1.000
7264LGNFD,,,,,"Dacia Logan (Седан, Комби,Пикап) переднее опускное левое зеленое (сталинит) 2005-12 (SG), шт",,,,,,,,457.00,1.000
7264RGNFD,,,,,"Dacia Logan (Седан, Комби,Пикап) переднее опускное правое зеленое (сталинит) 2005-12 (SG), шт",,,,,,,,457.00,1.000
9999AGNBL,,,,,"Dacia Nova / Solenza (Седан) ветровое З/П.Ш.ТЗ (триплекс) 1995-00 (BENSON), шт",,,,,,,,988.00,1.000
9999LGNFD,,,,,"Dacia Solenza (Седан) переднее опускное левое зеленое (сталинит) 2003- (SG), шт",,,,,,,,293.00,1.000
9999RGNFD,,,,,"Dacia Solenza (Седан) переднее опускное правое зеленое (сталинит) 2003- (SG), шт",,,,,,,,293.00,1.000
3098AGNGY,,,,,"Daewoo Damas (Минивен) ветровое З/П.ТЗ (триплекс) 1991-99, шт",,,,,,,,"1,350.00",14.000
3001BCLS,,,,,"Daewoo Espero (Седан) заднее с ЭО бесцветное (сталинит) 1990-98, шт",,,,,,,,"1,056.00",1.000
3001LGNS4RD,,,,,"Daewoo Espero (Седан) задней двери опускное левое зеленое (сталинит) 1990-98, шт",,,,,,,,470.00,1.000
3001RGNS4RD,,,,,"Daewoo Espero (Седан) задней двери опускное правое зеленое (сталинит) 1990-98 , шт",,,,,,,,470.00,1.000
3001LGNS4FD,,,,,"Daewoo Espero (Седан) передей двери опускное левое зеленое (сталинит) 1990-98, шт",,,,,,,,470.00,1.000
3001RGNS4FD,,,,,"Daewoo Espero (Седан) передей двери опускное правое зеленое (сталинит) 1990-98, шт",,,,,,,,470.00,1.000
3003ACLBL,,,,,"Daewoo Lanos (Седан, Хетчбек,Пикап) ветровое З/П.Ш кр. зеркала (триплекс) 1997- (ОР), шт",,,,,,,,693.00,14.000
3003AGNBL,,,,,"Daewoo Lanos (Седан, Хетчбек,Пикап) ветровое З/П.Ш.ТЗ (триплекс) 1997- (XYG), шт",,,,,,,,742.00,1.000
3003LCLS4RD,,,,,"Daewoo Lanos (Седан) задней двери опускное левое бесцветное (сталинит) 1997- , шт",,,,,,,,248.00,10.000
3003LCLS4RD,,,,,"Daewoo Lanos (Седан) задней двери опускное левое бесцветное (сталинит) 1997- (ОР), шт",,,,,,,,260.00,36.000
3003LGNS4RD,,,,,"Daewoo Lanos (Седан) задней двери опускное левое зеленое (сталинит) 1997- (SG), шт",,,,,,,,329.00,7.000
3003RCLS4RD,,,,,"Daewoo Lanos (Седан) задней двери опускное правое бесцветное (сталинит) 1997- (ОРИГИНАЛ), шт",,,,,,,,250.00,25.000
3003LGNS4FD,,,,,"Daewoo Lanos (Седан) передней двери  опускное левое зеленое (сталинит) 1997- , шт",,,,,,,,414.00,1.000
3003RCLS4FD,,,,,"Daewoo Lanos (Седан) передней двери  опускное правое бесцветное (сталинит) 1997- (ОР), шт",,,,,,,,250.00,5.000
3003RCLS4FD,,,,,"Daewoo Lanos (Седан) передней двери  опускное правое бесцветное(сталинит) 1997- , шт",,,,,,,,250.00,6.000
3003RGNS4FD,,,,,"Daewoo Lanos (Седан) передней двери  опускное правое зеленое (сталинит) 1997- , шт",,,,,,,,414.00,1.000
3003LCLS4FD,,,,,"Daewoo Lanos (Седан) передней двери опускное левое бесцветное (сталинит) 1997- (ОР), шт",,,,,,,,194.00,2.000
3003AS,,,,,"Daewoo Lanos/Sens уплотнитель ветрового стекла, шт",,,,,,,,235.00,3.000
3005LGNS4RD,,,,,"Daewoo Leganza (Седан) задней двери опускное левое зеленое (сталинит) 1997-03 , шт",,,,,,,,470.00,1.000
3005RGNS4RD,,,,,"Daewoo Leganza (Седан) задней двери опускное правое зеленое (сталинит) 1997-03 , шт",,,,,,,,470.00,1.000
3005LGNS4FD,,,,,"Daewoo Leganza (Седан) передней двери опускное левое зеленое (сталинит) 1997-03 892*518, шт",,,,,,,,470.00,1.000
3005RGNS4FD,,,,,"Daewoo Leganza (Седан) передней двери опускное правое зеленое (сталинит) 1997-03 , шт",,,,,,,,470.00,1.000
3006AGNBL,,,,,"Daewoo Matiz (Хетчбек) ветровое З/П.Ш.ТЗ  (триплекс) 1998-05 (XYG), шт",,,,,,,,950.00,35.000
3006BCLH,,,,,"Daewoo Matiz (Хетчбек) заднее с ЭО бесцветное (сталинит) 1998-  , шт",,,,,,,,750.00,35.000
3006LCLH5RD,,,,,"Daewoo Matiz (Хетчбек) задней двери опускное левое бесцветное (сталинит) 1998- , шт",,,,,,,,250.00,6.000
3006LGNH5RD,,,,,"Daewoo Matiz (Хетчбек) задней двери опускное левое зеленое (сталинит) 1998- (SEKURIT), шт",,,,,,,,404.00,7.000
3006RCLH5RD,,,,,"Daewoo Matiz (Хетчбек) задней двери опускное правое бесцветное (сталинит) 1998- , шт",,,,,,,,250.00,4.000
3006RGNH5RD,,,,,"Daewoo Matiz (Хетчбек) задней двери опускное правое зеленое (сталинит) 1998- (SEKURIT), шт",,,,,,,,404.00,5.000
3006LCLH5FD,,,,,"Daewoo Matiz (Хетчбек) передней двери опускное левое бесцветное (сталинит) 1998- , шт",,,,,,,,350.00,1.000
3006LGNH5FD,,,,,"Daewoo Matiz (Хетчбек) передней двери опускное левое зеленое (сталинит) 1998- (ОР), шт",,,,,,,,250.00,15.000
3006RCLH5FD,,,,,"Daewoo Matiz (Хетчбек) передней двери опускное правое бесцветное (сталинит) 1998- , шт",,,,,,,,281.00,1.000
3006RGNH5FD,,,,,"Daewoo Matiz (Хетчбек) передней двери опускное правое зеленое (сталинит) 1998-  (SEKURIT), шт",,,,,,,,404.00,1.000
3006RGNH5FD,,,,,"Daewoo Matiz (Хетчбек) передней двери опускное правое зеленое (сталинит) 1998- (ОР), шт",,,,,,,,250.00,18.000
3006LCLH5FQ,,,,,"Daewoo Matiz (Хетчбек) форт. передней  двери левое бесцветное (сталинит) 1998- , шт",,,,,,,,210.00,3.000
3006RCLH5FQ,,,,,"Daewoo Matiz (Хетчбек) форт. передней  двери правое бесцветное (сталинит) 1998- , шт",,,,,,,,210.00,6.000
3000AGNBL,,,,,"Daewoo Nexia (Cедан, Хетчбек) ветровое З/П.Ш.ТЗ  (триплекс) 1995- (XYG), шт",,,,,,,,650.00,35.000
3000LCLS4FD,,,,,"Daewoo Nexia (Седан, Хетчбек) передней двери опускное левое бесцветное (сталинит) 1995- , шт",,,,,,,,250.00,4.000
3000RCLS4FD,,,,,"Daewoo Nexia (Седан, Хетчбек) передней двери опускное правое бесцветное (сталинит) 1995- , шт",,,,,,,,250.00,13.000
3000BCLS,,,,,"Daewoo Nexia (Седан) заднее с ЭО бесцветное (сталинит) 1995-  , шт",,,,,,,,800.00,38.000
3000LCLS4RV,,,,,"Daewoo Nexia (Седан) задней  двери неподвижное левое бесцветное (сталинит) 1995- , шт",,,,,,,,250.00,2.000
3000RCLS4RV,,,,,"Daewoo Nexia (Седан) задней  двери неподвижное правое бесцветное (сталинит) 1995- , шт",,,,,,,,253.00,1.000
3000LCLS4RD,,,,,"Daewoo Nexia (Седан) задней двери опускное левое бесцветное (сталинит) 1995-  , шт",,,,,,,,250.00,10.000
3000RCLS4RD,,,,,"Daewoo Nexia (Седан) задней двери опускное правое бесцветное (сталинит) 1995-  , шт",,,,,,,,250.00,13.000
3004AS,,,,,"Daewoo Nubira (1997-2003) уплотнитель ветрового стекла, шт",,,,,,,,320.00,2.000
3004BGNE,,,,,"Daewoo Nubira (Комби) заднее с ЭО зеленое (сталинит) 1997-03 (ОРИГИНАЛ), шт",,,,,,,,"1,500.00",1.000
3004BGNS,,,,,"Daewoo Nubira (Седан) заднее с ЭО зеленое (сталинит) 1997-03 (ОРИГИНАЛ), шт",,,,,,,,"1,563.00",1.000
3002AGNGY,,,,,"Daewoo Tico (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 1996-03, шт",,,,,,,,822.00,1.000
AGNGY,,,,,"Daewoo Ultra (Грузовик) ветровое З/П.ТЗ (триплекс) 1997-09, шт",,,,,,,,"2,239.00",2.000
4635AGNBL,,,,,"DAF 105 (Грузовик) ветровое З/П.Ш.ТЗ (триплекс) 2006- (SG), шт",,,,,,,,"1,557.00",5.000
4633AGN,,,,,"DAF 45 (Грузовик) ветровое ТЗ (триплекс) 1999- (SG), шт",,,,,,,,"1,278.00",9.000
4625ACLBL,,,,,"DAF 75 (Грузовик) ветровое З/П.Ш. (триплекс) 1993- (SG), шт",,,,,,,,"1,582.00",1.000
4625LGNL2FD,,,,,"DAF 75 (Грузовик) опускное двери левое зеленое (сталинит) 1993- , шт",,,,,,,,441.00,1.000
4625RGNL2FD,,,,,"DAF 75 (Грузовик) опускное двери правое зеленое (сталинит) 1993- , шт",,,,,,,,441.00,5.000
4624AGNBL,,,,,"DAF 95 (Грузовик) ветровое З/П ТЗ (триплекс) 1987- (SG), шт",,,,,,,,"1,452.00",5.000
4624LCLL2FD,,,,,"DAF 95 (Грузовик) опускное двери левое бесцветное (сталинит) 1986-06 (ОР), шт",,,,,,,,466.00,13.000
4624RCLL2FD,,,,,"DAF 95 (Грузовик) опускное двери правое бесцветное (сталинит) 1986-06 (ОР), шт",,,,,,,,466.00,13.000
4624FGNL2FV,,,,,"DAF 95 (Грузовик) форточка зеленая (сталинит) 1986-06, шт",,,,,,,,471.00,6.000
2923AGNGY,,,,,"Daihatsu Storia (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 1998-04, шт",,,,,,,,999.00,2.000
2922AGNGY,,,,,"Daihatsu Terios  (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 1997-06, шт",,,,,,,,960.00,2.000
2926AGNGY,,,,,"Daihatsu YRV (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 2000-, шт",,,,,,,,"1,417.00",2.000
A223AGNGY,,,,,"Dodge Caravan (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 1996-07, шт",,,,,,,,"1,711.00",1.000
AD48AGNV,,,,,"Dodge Nitro (Внедорожник) ветровое ТЗ (триплекс) 2007-12 (SG), шт",,,,,,,,"1,025.00",1.000
AGNBL,,,,,"Dong Feng 3251(Грузовик) ветровое З/П.ТЗ (триплекс) 2006-, шт",,,,,,,,"1,782.00",1.000
AGNGY,,,,,"FAW Besturn B50 (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2009-, шт",,,,,,,,"1,279.00",8.000
LGNH5FD,,,,,"FAW Vita (Хетчбек) передней двери опускное левое зеленое (сталинит) 2007-, шт",,,,,,,,393.00,1.000
RGNH5FD,,,,,"FAW Vita (Хетчбек) передней двери опускное правое зеленое (сталинит) 2007-, шт",,,,,,,,392.00,1.000
3349AGNBL,,,,,"Fiat Albea (Седан, Комби, Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2003- (SG), шт",,,,,,,,939.00,1.000
3349RGNS4FD,,,,,"Fiat Albea (Седан) передней двери опускное правое зеленое (сталинит) 2003- , шт",,,,,,,,470.00,1.000
3348AGNBL,,,,,"Fiat Bravo (Седан, Комби, Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 1995-07 (SG), шт",,,,,,,,992.00,1.000
3354LGNVLRQ,,,,,"Fiat Doblo (Минивен) (дл.б.) заднее салона левое зеленое (сталинит) 2000-10 1060*551 (SG), шт",,,,,,,,450.00,1.000
3354AGNBL,,,,,"Fiat Doblo (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 2000-10 (XYG), шт",,,,,,,,950.00,31.000
3354BGNR,,,,,"Fiat Doblo (Минивен) заднее c ЭО правое зеленое (сталинит) 2000-10 (SG), шт",,,,,,,,713.00,2.000
3354BGNRU,,,,,"Fiat Doblo (Минивен) заднее без ЭО правое зеленое (сталинит) 2000-10 (SG), шт",,,,,,,,570.00,1.000
3354LGNRQ,,,,,"Fiat Doblo (Минивен) заднее салона левое зеленое (сталинит) 2000-10 693*558 (SG), шт",,,,,,,,450.00,2.000
3354RGNRQ,,,,,"Fiat Doblo (Минивен) заднее салона правое зеленое (сталинит)  2000-10 693*558 (SG), шт",,,,,,,,450.00,2.000
3354LGNFQ,,,,,"Fiat Doblo (Минивен) переднее салона левое зеленое (сталинит) 2000-10 750*559 (SG), шт",,,,,,,,450.00,1.000
3354RGNFQ,,,,,"Fiat Doblo (Минивен) переднее салона правое зеленое (сталинит) 2000-10 750*559 (SG), шт",,,,,,,,450.00,2.000
